Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total Sep-Jun,Total Jan-Dec
1919,0,6.9,10,4.5,0,0,0,0,0,0,12,5,52.9,38.4
1920,12.5,14.4,6.1,40.3,0,0,0,0,0,4.2,13.3,13.7,90.3,104.5
1921,4.4,4,8.8,13.6,0,0,0,0,0,0,6.3,14.9,62,52
1922,6,7.6,3.6,4.7,0,0,0,0,0,1.1,14,3.7,43.1,40.7
1923,0,24.4,24.8,2.5,0.2,0,0,0,0,12.3,3.9,7.4,70.7,75.5
1924,7.9,2.8,22.5,16.5,0,0,0,0,0,0,1,14.2,73.3,64.9
1925,2,0,4.3,0,0,0,0,0,0,13.5,8,15,21.5,42.8
1926,8.5,5.8,22,3,0,0,0,0,0,3,0,20.8,75.8,63.1
1927,3.9,3.9,10,8.4,0,0,0,0,0,0,8.6,8.2,50,43
1928,0.8,16.8,16.7,2.4,0,0,0,0,0,0,19.7,0.5,53.5,56.9
1929,4.7,12.1,26.2,2,0,0,0,0,0,14.9,25.9,9.1,65.2,94.9
1930,8.9,7.3,6.5,0,5.5,0,0,0,0,0,13.3,9.8,78.1,51.3
1931,0,16.9,21.6,10.6,26.7,0,0,0,0,0,13.4,0.4,98.9,89.6
1932,4.7,14.4,14.4,5.3,0,0,0,0,0,6.3,5.1,8.4,52.6,58.6
1933,0,5.6,9.1,37.7,3,0,0,0,0,0,1.2,8,75.2,64.6
1934,1,18.1,15.5,13.3,0,0,0,0,3,0,8.4,3,57.1,62.3
1935,1.7,8.1,1.6,16.1,1,0,0,0,3,2.3,7.7,0.2,42.9,41.7
1936,5.9,7.7,24.2,9.9,0,0,0,0,8,6,3.5,5.6,60.9,70.8
1937,7.9,5.8,8.3,19.8,0,0,0,0,0,2.5,7.7,15.7,64.9,67.7
1938,8.7,11.3,21.8,9,0,0,0,0,0,2.7,24.9,15.3,76.7,93.7
1939,8,13.3,9.4,14.1,0,0,0,0,0,6.5,0,4.3,87.7,55.6
1940,24.2,15.9,14.6,8,0,0,0,0,0,0,7,6.5,73.5,76.2
1941,11.5,3.3,29.2,15,0,0,0,0,0,0.3,6.1,12.7,72.5,78.1
1942,13.3,20.9,11.7,10,1.5,0,0,0,1,23,5.2,7.9,76.5,94.5
1943,2,3.5,17.9,0,9.5,0,0,0,0,0,9.5,6.6,70,49
1944,13,5.4,41.1,27.6,2.1,0,0,0,0,0,4.5,9.6,105.3,103.3
1945,20.3,9,10.9,32.5,0.5,0,0,0,2,5.1,6.5,4,87.3,90.8
1946,21.2,5.5,1,0,7.5,0,0,0,1,7.3,46.7,7,52.8,97.2
1947,17,19.3,23.7,9,5,1,0,0,0,8,14,13.4,137,110.4
1948,35,9.8,27.5,2,0,0,0,0,0,12,13.1,8.1,109.7,107.5
1949,28.2,2.3,18.6,9.1,0,0,0,0,0,7.9,0,4.4,91.4,70.5
1950,11.8,3.7,4.2,9,13.7,0,0,0,0,0,20.4,3.2,54.7,66
1951,13.3,9.2,30.7,17.9,0,2.2,0,0,1.5,3.9,17.8,18,96.9,114.5
1952,1,7,26.8,9.3,0,0,0,0,0,2.5,26.7,3.5,85.3,76.8
1953,5.3,11.8,11.8,24.4,3,0,0,0,0,0,10.3,15.7,89,82.3
1954,6.7,3.4,14.2,6.8,6.5,0,0,0,0,4.2,4,7.5,63.6,53.3
1955,6.5,21.3,26,2.5,0,0,0,0,0,2,14.7,9.2,72,82.2
1956,5.1,25.3,18.8,9.6,0,0,0,0,0,2,20.5,8.5,84.7,89.8
1957,15.2,4,5,44,4,0,0,0,0,1.6,4.6,1,103.2,79.4
1958,11.9,6.4,28.8,16.1,0,0,0,0,0.2,3.5,12.3,12.2,70.4,91.4
1959,16.5,15.9,19.9,21,0,0,0,0,10.9,14.5,13.6,0.5,101.5,112.8
1960,10.4,21.4,10.5,7.7,1.5,0,0,0,0,4.5,5.5,18.1,91,79.6
1961,9.7,0,30.3,6.4,0,0,0,0,0,10.7,13.7,8.6,74.5,79.4
1962,25.1,12.5,6.6,4.3,0,0,0,0,0,0,6.9,1.5,81.5,56.9
1963,15.4,5.6,28.6,1.5,0,0,0,0,0,0.7,4.5,11.2,59.5,67.5
1964,7.5,12,22.1,16,0,0,0,0,0,0,11,12.5,74,81.1
1965,12,25.6,31.7,6.1,0,0,0,0,4.2,0,2.5,10.2,98.9,92.3
1966,7.3,23.9,3.8,9,2.6,0,0,0,0,6.1,8.4,5.2,63.5,66.3
1967,13.3,7.3,9.8,0,6.3,0,0,0,0,3.1,13.8,31.4,56.4,85
1968,0.8,19.9,13,15.7,0,0,0,0,0,0,7.5,9.5,97.7,66.4
1969,6.6,5.3,17.5,0,0,0,0,0,0,49.3,10.8,8.2,46.4,97.7
1970,2,0,56.7,7.5,0,0,0,0,1.5,6.2,8,4,134.5,85.9
1971,8,18.7,11.5,9.3,0,0,0,0,21,10.2,3.2,11.7,67.2,93.6
1972,13.5,6.1,9.9,0.7,0,0,0,0,0,10.4,26.8,19.5,76.3,86.9
1973,18.5,2,14.7,29.8,6.6,0,0,0,0,0,21.1,16.6,128.3,109.3
1974,8,8.4,18.3,11.4,0,0,0,0,2.7,1.2,8.4,7.9,83.8,66.3
1975,6.6,12.3,16.2,28.7,0,0,0,0,0,5.8,11.3,10.8,84,91.7
1976,8.3,6.2,16.5,0,0,0,0,0,0,2.1,1,7,58.9,41.1
1977,3.8,7.4,5.9,12.6,0,0,0,0,0,0,4.6,2.5,39.8,36.8
1978,19.6,10.5,9.9,5.9,23,0,0,0,0,0,2.5,19.5,76,90.9
1979,13,2,14.5,10.2,6,0,0,0,0,1,39.3,23.5,67.7,109.5
1980,14.3,13.8,18,5.5,0,0,0,0,0,2,9.5,0.5,115.4,63.6
1981,5,7,16,0,0,0,0,0,0,3,2,7.3,40,40.3
1982,1,4,3.5,0,0,0,0,0,0,1.5,3.5,23.5,20.8,37
1983,0,2.3,22.5,17.5,0,0,0,0,0,0,30.1,11,70.8,83.4
1984,6.4,9.1,19.2,12.7,0,0,0,0,4.2,11,0,4.8,88.5,67.4
1985,16.3,14.6,20.4,0.9,0,0,0,0,11,6,22.8,16,72.2,108
1986,2,17.8,3,13.5,0,0,0,0,0,7,20.3,13,92.1,76.6
1987,21.4,23.7,23,16.3,0,0,0,0,0,0,13.5,27.5,124.7,125.4
1988,6.5,16.7,24.9,4.7,1,0,0,0,0,0,5.7,31.5,94.8,91
1989,14.2,14.8,10.5,15.8,0,0,0,0,0.5,8.9,1.8,21.6,92.5,88.1
1990,13,13.3,25,7.6,0.1,0,0,0,0,6.1,17.1,12.7,91.8,94.9
1991,17,2.8,2,19.1,0.4,0,0,0,0,13.6,28.9,0.2,77.2,84
1992,10.9,0,19.7,0,0,0,0,0,0,0,44.7,18.8,73.3,94.1
1993,5.8,9.3,11.9,4.7,0,0.1,0,0,1.4,10.5,27,9,95.3,79.7
1994,11.5,15.4,14.9,22.8,0,0,0,0,0.4,0,23.7,10.3,112.5,99
1995,12,16.3,16.4,24.1,0.8,0,0,0,8.6,3.1,17.8,3.4,104,102.5
1996,29.1,5.9,17.7,7.6,0,0,0,0,6.1,0.1,16.6,6.1,93.2,89.2
1997,19,28.8,14.1,38.6,0,0,0,0,0,30.1,18.2,9.9,129.4,158.7
1998,10.4,1.7,42.6,19.4,0,0,0,0,0,0,9.5,17.8,132.3,101.4
1999,9.7,1.2,6.5,34.4,T ,0,0,0,1.6,6.1,10.5,9.7,79.1,79.7
2000,3.8,5.4,26.6,8.9,0,0,0,0,6.5,0.9,10.9,8.5,72.6,71.5
2001,10.3,13.1,16.6,10.5,6.5,0,0,0,T,0.3,7.3,4.7,83.8,69.3
2002,18.5,8.3,22.6,0.1,1.6,0,0,0,0,16.1,13,0.5,63.4,80.7
2003,0.5,22.8,34.7,6.2,5.2,0,0,0,0,0.4,7.5,9.9,99,87.2
2004,12,18,7.9,14.9,. ,0,0,0,0,0,17.6,6.7,70.6,77.1
2005,15.9,3.3,11.2,21.8,0.2,0,0,0,0,T ,1.9,6.3,76.7,60.6
2006,5.5,11.4,23.3,2.9,0.1,T ,0,0,0,15.1,12,45.5,51.4,115.9
2007,27.5,15.3,4.5,2.2,T ,0,0,0,0,0.1,5.9,30,122.2,85.5
2008,10.3,10.4,17.6,7.9,0.7,0,0,0,0,0.2,1.3,20.9,82.9,69.1
2009,13,3.9,21.4,20.4,0,0,0,0,0,30.1,8.9,27.8,81.1,125.5
2010,4.6,22.9,28.7,5.8,6.6,0,0,0,0,T,2,9.5,135.4,87.1
2011,18.2,13.2,0.7,3.5,0.2,0,0,0,0,11.5,8.6,33.1,47.3,89
2012,7.8,32.1,T,1.6,T,0,0,0,0,7.9,0.8,11.7,94.7,61.9
2013,3.7,18.5,22.8,47.6,12.3,0,0,0,0,5.4,6.3,9,125.3,125.6
2014,27.2,11.7,11.2,12.2,6.8,0,0,0,0.5,0,16.9,19.8,89.8,106.3
2015,6,54.6,8,7.4,3.9,T,0,0,0,0,11.5,17.4,28.9,108.8
2016,4.1,21.8,32.5,21.4,1,0,0,0,0,0,4.4,13,109.7,98.2
2017,18.7,9.9,0,19.4,6.1,0,0,0,0,8,4.1,10.2,71.5,76.4
2018,8.8,18.5,6.8,6,0,0,0,0,0,10.1,16.4,5.7,32.2,72.4
2019,14.5,14.6,16.2,10.2,7.4,0,0,0,0,26.4,29.5,3.4,59.3,122.2
